field_id,ingest_time,weather_time,humidity,wind_speed_mps,temperature_c
Field-A,2025-01-01 00:06:11,2025-01-01 00:00:00,0.7510487,2.3447015,3.9405181
Field-A,2025-01-01 08:13:55,2025-01-01 00:30:00,0.780454,3.797541,13.58873
Field-A,2025-01-01 04:38:01,2025-01-01 01:00:00,0.8940533,4.7298374,26.140352
Field-A,2025-01-01 06:06:54,2025-01-01 01:30:00,0.80254424,4.0238795,15.729772
Field-A,2025-01-01 13:46:07,2025-01-01 02:00:00,0.8949188,5.164629,17.25004
Field-A,2025-01-01 05:09:47,2025-01-01 02:30:00,0.82823086,9.111635,1.0889615
Field-A,2025-01-01 11:00:27,2025-01-01 03:00:00,0.84391916,7.943767,19.06688
Field-A,2025-01-01 12:54:34,2025-01-01 03:30:00,0.57264376,4.850568,16.65356
Field-A,2025-01-01 07:39:58,2025-01-01 04:00:00,0.34792125,2.541784,11.345596
Field-A,2025-01-01 08:16:34,2025-01-01 04:30:00,0.99,8.142209,17.260353
Field-A,2025-01-01 08:48:18,2025-01-01 05:00:00,0.59133154,5.0920806,17.190851
Field-A,2025-01-01 10:44:03,2025-01-01 05:30:00,0.8011674,1.4016991,8.583585
Field-A,2025-01-01 13:15:26,2025-01-01 06:00:00,0.48095053,6.7673464,18.322975
Field-A,2025-01-01 15:32:16,2025-01-01 06:30:00,0.75350606,7.4565105,24.379948
Field-A,2025-01-01 11:21:28,2025-01-01 07:00:00,0.15,0.5,14.404409
Field-A,2025-01-01 13:26:41,2025-01-01 07:30:00,0.5061202,3.38598,9.926841
Field-A,2025-01-01 17:16:30,2025-01-01 08:00:00,0.562286,4.957001,14.75694
Field-A,2025-01-01 08:37:14,2025-01-01 08:30:00,0.6632696,6.815924,21.982292
Field-A,2025-01-01 11:18:59,2025-01-01 09:00:00,0.7729644,4.0653577,7.415768
Field-A,2025-01-01 10:50:55,2025-01-01 09:30:00,0.3830543,3.3692877,20.049908
Field-A,2025-01-01 12:17:19,2025-01-01 10:00:00,0.69879425,6.7997723,11.253899
Field-A,2025-01-01 20:48:11,2025-01-01 10:30:00,0.8008001,4.1696906,17.69444
Field-A,2025-01-01 13:47:32,2025-01-01 11:00:00,0.99,6.3925204,12.049681
Field-A,2025-01-01 23:02:19,2025-01-01 11:30:00,0.707193,2.7546656,12.030881
Field-A,2025-01-01 22:29:10,2025-01-01 12:00:00,0.4972889,2.2248673,26.661665
Field-A,2025-01-01 17:00:17,2025-01-01 12:30:00,0.35108235,6.8615923,6.136394
Field-A,2025-01-01 14:05:42,2025-01-01 13:00:00,0.9092564,5.7555437,19.397564
Field-A,2025-01-01 16:18:53,2025-01-01 13:30:00,0.7127215,7.2294025,28.11927
Field-A,2025-01-01 21:12:46,2025-01-01 14:00:00,0.5760444,4.0282955,20.798653
Field-A,2025-01-01 20:02:55,2025-01-01 14:30:00,0.28843272,3.4507682,6.682321
Field-A,2025-01-02 01:21:50,2025-01-01 15:00:00,0.4123869,8.193582,7.0289364
Field-A,2025-01-01 19:45:51,2025-01-01 15:30:00,0.69363767,1.8494908,10.738623
Field-A,2025-01-01 18:07:23,2025-01-01 16:00:00,0.64368993,7.9532137,17.105356
Field-A,2025-01-02 00:34:23,2025-01-01 16:30:00,0.22966032,8.10511,17.581598
Field-A,2025-01-02 04:01:38,2025-01-01 17:00:00,0.69387025,7.092197,7.098124
Field-A,2025-01-02 00:11:19,2025-01-01 17:30:00,0.29768145,3.6868234,9.8906975
Field-A,2025-01-02 02:32:03,2025-01-01 18:00:00,0.82372165,3.4036477,10.319623
Field-A,2025-01-02 01:30:07,2025-01-01 18:30:00,0.61754006,4.7378774,14.734773
Field-A,2025-01-01 21:45:35,2025-01-01 19:00:00,0.49658415,2.3509128,29.892868
Field-A,2025-01-02 02:06:24,2025-01-01 19:30:00,0.75822777,3.084273,9.46769
Field-A,2025-01-02 07:45:55,2025-01-01 20:00:00,0.64362985,6.6184154,9.161295
Field-A,2025-01-02 08:27:13,2025-01-01 20:30:00,0.818487,6.628568,8.068018
Field-A,2025-01-02 06:59:17,2025-01-01 21:00:00,0.5944856,2.8909354,20.448812
Field-A,2025-01-02 03:38:50,2025-01-01 21:30:00,0.6049875,6.687468,15.7106085
Field-A,2025-01-01 22:40:57,2025-01-01 22:00:00,0.52865493,6.199467,9.726414
Field-A,2025-01-02 03:43:46,2025-01-01 22:30:00,0.62733406,8.5217495,13.460431
Field-A,2025-01-02 08:54:12,2025-01-01 23:00:00,0.88563114,6.4521003,10.459428
